method,simnum,listnum,hit,miss,fa,cr,cost,startseed
fe,0,1,3,390,0,12327,390.0,0
goni,0,1,9,384,2,12325,386.0,0
chan,0,1,65,328,22,12305,350.0,0
rw,0,1,73,320,23,12304,343.0,0
kenett,0,1,20,373,190,12137,563.0,0
fe,0,2,5,388,0,12327,388.0,0
goni,0,2,32,361,4,12323,365.0,0
chan,0,2,108,285,39,12288,324.0,0
rw,0,2,133,260,50,12277,310.0,0
kenett,0,2,25,368,332,11995,700.0,0
fe,0,3,8,385,0,12327,385.0,0
goni,0,3,79,314,18,12309,332.0,0
chan,0,3,118,275,44,12283,319.0,0
rw,0,3,175,218,76,12251,294.0,0
kenett,0,3,20,373,361,11966,734.0,0
fe,0,4,11,382,0,12327,382.0,0
goni,0,4,100,293,22,12305,315.0,0
chan,0,4,138,255,56,12271,311.0,0
rw,0,4,218,175,104,12223,279.0,0
kenett,0,4,18,375,405,11922,780.0,0
fe,0,5,14,379,0,12327,379.0,0
goni,0,5,145,248,35,12292,283.0,0
chan,0,5,139,254,58,12269,312.0,0
rw,0,5,254,139,131,12196,270.0,0
kenett,0,5,18,375,426,11901,801.0,0
fe,0,6,17,376,0,12327,376.0,0
goni,0,6,173,220,46,12281,266.0,0
chan,0,6,129,264,62,12265,326.0,0
rw,0,6,280,113,160,12167,273.0,0
kenett,0,6,19,374,443,11884,817.0,0
fe,0,7,20,373,0,12327,373.0,0
goni,0,7,192,201,63,12264,264.0,0
chan,0,7,136,257,51,12276,308.0,0
rw,0,7,292,101,184,12143,285.0,0
kenett,0,7,22,371,440,11887,811.0,0
fe,0,8,23,370,0,12327,370.0,0
goni,0,8,211,182,74,12253,256.0,0
chan,0,8,139,254,52,12275,306.0,0
rw,0,8,303,90,205,12122,295.0,0
kenett,0,8,27,366,441,11886,807.0,0
fe,0,9,26,367,0,12327,367.0,0
goni,0,9,227,166,88,12239,254.0,0
chan,0,9,139,254,50,12277,304.0,0
rw,0,9,316,77,226,12101,303.0,0
kenett,0,9,32,361,436,11891,797.0,0
fe,0,10,29,364,0,12327,364.0,0
goni,0,10,241,152,96,12231,248.0,0
chan,0,10,138,255,50,12277,305.0,0
rw,0,10,328,65,247,12080,312.0,0
kenett,0,10,33,360,435,11892,795.0,0
fe,0,11,30,363,0,12327,363.0,0
goni,0,11,250,143,113,12214,256.0,0
chan,0,11,135,258,42,12285,300.0,0
rw,0,11,332,61,276,12051,337.0,0
kenett,0,11,29,364,439,11888,803.0,0
fe,0,12,33,360,0,12327,360.0,0
goni,0,12,263,130,131,12196,261.0,0
chan,0,12,133,260,41,12286,301.0,0
rw,0,12,338,55,300,12027,355.0,0
kenett,0,12,35,358,433,11894,791.0,0
fe,0,13,35,358,0,12327,358.0,0
goni,0,13,272,121,141,12186,262.0,0
chan,0,13,132,261,35,12292,296.0,0
rw,0,13,349,44,336,11991,380.0,0
kenett,0,13,34,359,434,11893,793.0,0
fe,0,14,37,356,0,12327,356.0,0
goni,0,14,284,109,154,12173,263.0,0
chan,0,14,136,257,32,12295,289.0,0
rw,0,14,359,34,358,11969,392.0,0
kenett,0,14,50,343,421,11906,764.0,0
fe,0,15,40,353,0,12327,353.0,0
goni,0,15,290,103,163,12164,266.0,0
chan,0,15,139,254,28,12299,282.0,0
rw,0,15,362,31,380,11947,411.0,0
kenett,0,15,51,342,420,11907,762.0,0
fe,0,16,43,350,0,12327,350.0,0
goni,0,16,295,98,178,12149,276.0,0
chan,0,16,137,256,31,12296,287.0,0
rw,0,16,365,28,404,11923,432.0,0
kenett,0,16,54,339,417,11910,756.0,0
fe,0,17,45,348,0,12327,348.0,0
goni,0,17,306,87,180,12147,267.0,0
chan,0,17,140,253,25,12302,278.0,0
rw,0,17,365,28,427,11900,455.0,0
kenett,0,17,54,339,417,11910,756.0,0
fe,0,18,48,345,0,12327,345.0,0
goni,0,18,311,82,180,12147,262.0,0
chan,0,18,139,254,25,12302,279.0,0
rw,0,18,368,25,456,11871,481.0,0
kenett,0,18,67,326,404,11923,730.0,0
fe,0,19,51,342,0,12327,342.0,0
goni,0,19,319,74,190,12137,264.0,0
chan,0,19,140,253,24,12303,277.0,0
rw,0,19,372,21,489,11838,510.0,0
kenett,0,19,53,340,418,11909,758.0,0
fe,0,20,54,339,0,12327,339.0,0
goni,0,20,323,70,200,12127,270.0,0
chan,0,20,143,250,21,12306,271.0,0
rw,0,20,374,19,512,11815,531.0,0
kenett,0,20,60,333,411,11916,744.0,0
fe,0,21,56,337,0,12327,337.0,0
goni,0,21,329,64,210,12117,274.0,0
chan,0,21,142,251,19,12308,270.0,0
rw,0,21,374,19,537,11790,556.0,0
kenett,0,21,232,161,242,12085,403.0,0
fe,0,22,59,334,0,12327,334.0,0
goni,0,22,330,63,217,12110,280.0,0
chan,0,22,145,248,16,12311,264.0,0
rw,0,22,376,17,555,11772,572.0,0
kenett,0,22,234,159,240,12087,399.0,0
fe,0,23,61,332,0,12327,332.0,0
goni,0,23,332,61,226,12101,287.0,0
chan,0,23,146,247,15,12312,262.0,0
rw,0,23,379,14,583,11744,597.0,0
kenett,0,23,241,152,233,12094,385.0,0
fe,0,24,64,329,0,12327,329.0,0
goni,0,24,335,58,238,12089,296.0,0
chan,0,24,146,247,15,12312,262.0,0
rw,0,24,381,12,603,11724,615.0,0
kenett,0,24,239,154,235,12092,389.0,0
fe,0,25,67,326,0,12327,326.0,0
goni,0,25,336,57,245,12082,302.0,0
chan,0,25,147,246,14,12313,260.0,0
rw,0,25,382,11,623,11704,634.0,0
kenett,0,25,234,159,240,12087,399.0,0
fe,0,26,70,323,0,12327,323.0,0
goni,0,26,337,56,259,12068,315.0,0
chan,0,26,146,247,16,12311,263.0,0
rw,0,26,383,10,651,11676,661.0,0
kenett,0,26,240,153,234,12093,387.0,0
fe,0,27,72,321,0,12327,321.0,0
goni,0,27,339,54,270,12057,324.0,0
chan,0,27,146,247,14,12313,261.0,0
rw,0,27,384,9,672,11655,681.0,0
kenett,0,27,241,152,233,12094,385.0,0
fe,0,28,74,319,0,12327,319.0,0
goni,0,28,343,50,272,12055,322.0,0
chan,0,28,146,247,13,12314,260.0,0
rw,0,28,384,9,697,11630,706.0,0
kenett,0,28,249,144,225,12102,369.0,0
fe,0,29,76,317,0,12327,317.0,0
goni,0,29,343,50,269,12058,319.0,0
chan,0,29,147,246,12,12315,258.0,0
rw,0,29,386,7,723,11604,730.0,0
kenett,0,29,253,140,221,12106,361.0,0
fe,0,30,79,314,0,12327,314.0,0
goni,0,30,347,46,278,12049,324.0,0
chan,0,30,147,246,12,12315,258.0,0
rw,0,30,386,7,738,11589,745.0,0
kenett,0,30,247,146,227,12100,373.0,0
fe,0,31,81,312,0,12327,312.0,0
goni,0,31,349,44,282,12045,326.0,0
chan,0,31,147,246,12,12315,258.0,0
rw,0,31,386,7,751,11576,758.0,0
kenett,0,31,254,139,220,12107,359.0,0
fe,0,32,83,310,0,12327,310.0,0
goni,0,32,350,43,284,12043,327.0,0
chan,0,32,149,244,11,12316,255.0,0
rw,0,32,388,5,767,11560,772.0,0
kenett,0,32,256,137,218,12109,355.0,0
fe,0,33,85,308,0,12327,308.0,0
goni,0,33,353,40,287,12040,327.0,0
chan,0,33,148,245,14,12313,259.0,0
rw,0,33,388,5,790,11537,795.0,0
kenett,0,33,248,145,226,12101,371.0,0
fe,0,34,87,306,0,12327,306.0,0
goni,0,34,352,41,287,12040,328.0,0
chan,0,34,149,244,13,12314,257.0,0
rw,0,34,388,5,809,11518,814.0,0
kenett,0,34,251,142,223,12104,365.0,0
fe,0,35,90,303,0,12327,303.0,0
goni,0,35,354,39,298,12029,337.0,0
chan,0,35,147,246,15,12312,261.0,0
rw,0,35,388,5,833,11494,838.0,0
kenett,0,35,251,142,223,12104,365.0,0
fe,0,36,92,301,0,12327,301.0,0
goni,0,36,359,34,300,12027,334.0,0
chan,0,36,148,245,14,12313,259.0,0
rw,0,36,389,4,860,11467,864.0,0
kenett,0,36,248,145,226,12101,371.0,0
fe,0,37,94,299,0,12327,299.0,0
goni,0,37,360,33,313,12014,346.0,0
chan,0,37,149,244,13,12314,257.0,0
rw,0,37,389,4,879,11448,883.0,0
kenett,0,37,253,140,221,12106,361.0,0
fe,0,38,95,298,0,12327,298.0,0
goni,0,38,365,28,326,12001,354.0,0
chan,0,38,150,243,9,12318,252.0,0
rw,0,38,390,3,902,11425,905.0,0
kenett,0,38,260,133,214,12113,347.0,0
fe,0,39,96,297,0,12327,297.0,0
goni,0,39,366,27,329,11998,356.0,0
chan,0,39,150,243,9,12318,252.0,0
rw,0,39,391,2,920,11407,922.0,0
kenett,0,39,254,139,220,12107,359.0,0
fe,0,40,98,295,0,12327,295.0,0
goni,0,40,370,23,329,11998,352.0,0
chan,0,40,150,243,9,12318,252.0,0
rw,0,40,391,2,938,11389,940.0,0
kenett,0,40,253,140,221,12106,361.0,0
fe,0,41,99,294,0,12327,294.0,0
goni,0,41,371,22,338,11989,360.0,0
chan,0,41,151,242,8,12319,250.0,0
rw,0,41,391,2,955,11372,957.0,0
kenett,0,41,262,131,212,12115,343.0,0
fe,0,42,102,291,0,12327,291.0,0
goni,0,42,371,22,347,11980,369.0,0
chan,0,42,151,242,8,12319,250.0,0
rw,0,42,391,2,973,11354,975.0,0
kenett,0,42,263,130,211,12116,341.0,0
fe,0,43,103,290,0,12327,290.0,0
goni,0,43,373,20,356,11971,376.0,0
chan,0,43,153,240,8,12319,248.0,0
rw,0,43,391,2,995,11332,997.0,0
kenett,0,43,265,128,209,12118,337.0,0
fe,0,44,106,287,0,12327,287.0,0
goni,0,44,375,18,364,11963,382.0,0
chan,0,44,153,240,6,12321,246.0,0
rw,0,44,391,2,1016,11311,1018.0,0
kenett,0,44,262,131,212,12115,343.0,0
fe,0,45,108,285,0,12327,285.0,0
goni,0,45,376,17,370,11957,387.0,0
chan,0,45,153,240,6,12321,246.0,0
rw,0,45,391,2,1032,11295,1034.0,0
kenett,0,45,266,127,208,12119,335.0,0
fe,0,46,110,283,0,12327,283.0,0
goni,0,46,377,16,376,11951,392.0,0
chan,0,46,152,241,7,12320,248.0,0
rw,0,46,391,2,1049,11278,1051.0,0
kenett,0,46,271,122,203,12124,325.0,0
fe,0,47,113,280,0,12327,280.0,0
goni,0,47,380,13,381,11946,394.0,0
chan,0,47,152,241,7,12320,248.0,0
rw,0,47,391,2,1064,11263,1066.0,0
kenett,0,47,268,125,206,12121,331.0,0
fe,0,48,116,277,0,12327,277.0,0
goni,0,48,381,12,385,11942,397.0,0
chan,0,48,152,241,9,12318,250.0,0
rw,0,48,391,2,1076,11251,1078.0,0
kenett,0,48,268,125,206,12121,331.0,0
fe,0,49,118,275,0,12327,275.0,0
goni,0,49,381,12,387,11940,399.0,0
chan,0,49,152,241,7,12320,248.0,0
rw,0,49,391,2,1088,11239,1090.0,0
kenett,0,49,265,128,209,12118,337.0,0
fe,0,50,120,273,0,12327,273.0,0
goni,0,50,381,12,394,11933,406.0,0
chan,0,50,152,241,7,12320,248.0,0
rw,0,50,391,2,1098,11229,1100.0,0
kenett,0,50,267,126,207,12120,333.0,0
fe,1,1,3,390,0,12327,390.0,150
goni,1,1,3,390,2,12325,392.0,150
chan,1,1,57,336,28,12299,364.0,150
rw,1,1,64,329,35,12292,364.0,150
kenett,1,1,17,376,223,12104,599.0,150
fe,1,2,6,387,0,12327,387.0,150
goni,1,2,22,371,7,12320,378.0,150
chan,1,2,84,309,49,12278,358.0,150
rw,1,2,120,273,68,12259,341.0,150
kenett,1,2,17,376,334,11993,710.0,150
fe,1,3,9,384,0,12327,384.0,150
goni,1,3,45,348,19,12308,367.0,150
chan,1,3,99,294,65,12262,359.0,150
rw,1,3,161,232,101,12226,333.0,150
kenett,1,3,16,377,386,11941,763.0,150
fe,1,4,12,381,0,12327,381.0,150
goni,1,4,71,322,31,12296,353.0,150
chan,1,4,110,283,67,12260,350.0,150
rw,1,4,193,200,132,12195,332.0,150
kenett,1,4,19,374,398,11929,772.0,150
